,album,title,year
25,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Kaybolan Yıllar,2008
26,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Gelen Gideni Aratır ,2008
27,Kaybolmayan Yillar / Arsiv Serisi Vol.1,02 Serçe (1978) CD-2,2008
28,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Kaç Yıl Gecti Aradan,2008
29,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Aşk,2008
30,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Kime Kalmış Bu Dünya,2008
31,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Neye Yarar,2008
32,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Ben Dul Bir Kadınım,2008
33,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Ud Taksimi,2008
34,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Ölürsem Yazıktır,2008
35,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Olmaz Ilaç,2008
36,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Akasyalar Açarken,2008
37,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Silemezler Gönlümden,2008
38,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Karam,2008
39,Kaybolmayan Yillar / Arsiv Serisi Vol.1,07 Git... (1986),2008
40,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Değer Mi?,2008
41,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Git ...,2008
42,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Beni Unutma,2008
43,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Kolay Değil,2008
44,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Ünzile,2008
45,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Sonbahar ,2008
46,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Ali ,2008
47,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Ah Mazi,2008
48,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Yanlızca Sitem,2008
49,Kaybolmayan Yillar / Arsiv Serisi Vol.1,08 Sezen Aksu '88 (1988),2008
50,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Sarışın,2008
51,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Geçer,2008
52,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Sultan Suleyman,2008
53,Kaybolmayan Yillar / Arsiv Serisi Vol.1,El Gibi,2008
54,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Unut ,2008
55,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Oldu Mu,2008
56,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Kavaklar,2008
57,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Bir Çocuk Sevdim,2008
58,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Hasret ,2008
59,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Bir Kuş Ucur,2008
60,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Hayır,2008
61,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Seni Istiyorum,2008
62,Kaybolmayan Yillar / Arsiv Serisi Vol.1,09 Sezen Aksu Söylüyor (1989),2008
63,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Bırak Beni ,2008
64,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Şinanay,2008
65,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Gidiyorum,2008
66,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Son Bakış,2008
67,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Yıllar Sonra,2008
68,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Beni Kategorize Etme,2008
69,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Belalım,2008
70,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Kış Masalı,2008
71,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Aynalar,2008
72,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Istanbul Hatırası,2008
73,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Zor Yıllar,2008
74,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Gamsız,2008
75,Kaybolmayan Yillar / Arsiv Serisi Vol.1,10 Gülümse (1991),2008
76,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Hadi Bakalım,2008
77,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Tutsak ,2008
78,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Ne Kavgam Bitti Ne Sevdam,2008
79,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Gülümse,2008
80,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Güllerim Soldu,2008
81,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Vazgeçtim,2008
82,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Her Şeyi Yak,2008
83,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Namus,2008
84,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Seni Kimler Aldı,2008
85,Kaybolmayan Yillar / Arsiv Serisi Vol.1,Değer Mi?,2008
