,release,name,real_name
13686,,,Cennette İnsan
13687,,,Cepkenimi Al İsterim
13688,,,Cerrevin Kulpu Burma
13689,,,Cevahir Taşına
13690,,,Ceviz Arasında Vardır Evimiz
13691,,,Ceviz Oynamaya Mı Geldin
13692,,,Cevizin Yaprağı Dal Arasında
13693,,,Ceyhan Suyu Gibi Bahar Ayında
13694,,,Ceylan Gözlerine
13695,,,Ceyranım Gel Gel
13696,,,Cezayir'dir Koç Yiğidin Vatanı
13697,,,Cezayir'in Harmanları Savrulur (Bursa Köy Güv.)
13698,,,Cezayir'in Yüksek Olur Evleri
13699,,,Cıhar Attım Şeş Oynadım
13700,,,Cici Pabucum Cici
13701,,,Cigara Attım Yara
13702,,,Cigaramı İnce Sar
13703,,,Cihanı Aleme Kör Gözle Bakma
13704,,,Cilvelenip Ne Karşımda Durursan
13705,,,Cimdallı Çarşısında
13706,,,Cirigam
13707,,,Coşar Koç Yiğitler Coşar
13708,,,Cük Cük Cücelerim
13709,,,Çadır Altı Minare
13710,,,Çadır Kurdum Düzlere
13711,,,Çarşıdan Aldım Kestane
13712,,,Çarşılardan Üç Mum Aldım Yakmaya
13713,,,Çarşıya Vardım Erikten Aldım
13714,,,Adım Adım
13715,2015-08-21,Alacalı,Alacalı
13716,2015-08-21,Ara Sıra Ara,Ara Sıra Ara
13717,2016-11-11,Ay Parçası,Ay Parçası
13718,2015-08-21,Ben Akıllanmam,Ben Akıllanmam
13719,,,Davetsiz Misafirim
13720,2016-11-11,Deli Divane,Deli Divane
13721,2015-08-21,Gitmem Gerek,Gitmem Gerek
13722,2016-11-11,Gül Goncalar,Gül Goncalar
13723,2016-11-11,Günlerden Sonbahar,Günlerden Sonbahar
13724,2014-07-13,Hayat Sürer,Hayat Sürer
13725,2003-04-18,Allı Turnam,Allı Turnam
13726,,,Amman Avcı
13727,,,Bastım da Kırıldı İğdenin Dalı
13728,2003-04-18,Bir Yiğit Gurbete Gitse,Bir Yiğit Gurbete Gitse
13729,,,Bu Gala Daşlı Gala
13730,,,Bugün Bize Hoşgeldiniz Erenler
13731,,,Dane Dane Benleri Var
13732,,,Değmen Benim Gamlı Yaslı Gönlüme
13733,2003-04-18,Dut Ağacı Boyunca,Dut Ağacı
13734,2003-04-18,Elmaların Yongası,Elmaların Yongası
13735,,,Geçti Dost Kervanı
13736,2003-04-18,Gesi Bağları,Gesi Bağları
13737,,,Gönül Dağı
13738,2003-04-18,Hey Onbeşli,Hey Onbeşli
13739,,,Neredesin Sen
13740,,,Seherde Bir Bağa Girdim
13741,,,Urfa`nın Etrafı
13742,,,Vallahi O Yardır
13743,2003-04-18,Zahidem,Zahidem
13744,,,Aşk Şakası
13745,,,Benim Olma
13746,2003-10-22,Çiçeğim,Çiçeğim
13747,2003-10-22,Güzelsin,Güzelsin
13748,,,Ölmeye Yeminliyim
13749,2003-10-22,Sen En Doğru Yanlışımsın,Sen En Doğru Yanlışımsın
13750,,,Sen Söyle Bana
13751,2003-10-22,Seni Seviyorum,Seviyorum
13752,,,Utanır Gibisin
13753,2001-05-29,Alaylı,Alaylı
13754,2004-05-18,Alışmak,Alışmak
13755,,,Alimallah
13756,,,Amaney
13757,2006-08-31,Artık Aşk Yok - Yok Yok,Artık Aşk Yok (Yok Yok)
13758,2009-08-04,Aşk Geçiyormuş İstanbul'dan,Aşk Geçiyormuş İstanbul'dan
13759,2012-12-14,Aşk Gribi,Aşk Gribi
13760,2001-05-29,Aşk Kimlerde,Aşk Kimlerde
13761,,,Aşk Yarası
13762,2014,Aşkın Beni Baştan Yazar - A.B.B.Y.,Aşkın Beni Baştan Yazar
13763,2009-08-04,Ateş Ve Suyun Aşkı,Ateş Ve Suyun Aşkı
13764,2004-05-18,Ay Şahit,Ay Şahit
13765,2018-03-16,Nar Danesi - Bahçe Duvarından Aştım - Potpuri,Bahçe Duvarından Aştım
13766,,,Bana Evet De
13767,,,Ben Bir Tek Adam Sevdim (& Selami Şahin)
13768,2006-08-31,Ben Yeter Miyim?,Ben Yeter miyim?
13769,2009-08-04,Benim Gibi Sevgili Bulamazsın,Benim Gibi Sevgili Bulamazsın
13770,2018-03-16,Bir Ay Doğar,Bir Ay Doğar
13771,,,Bir Lokma Sevda (Feat. Eflatun)
13772,2012-12-14,Bir Sevgi İstiyorum,Bir Sevgi İstiyorum
13773,2016-10-29,Birliğe Ulaş,Birliğe Ulaş
13774,2001-05-29,Biz Aşkı Meleklerden Çaldık,Biz Aşkı Meleklerden Çaldık
13775,2006-08-31,Bu Gece Beni Görmeden Uyuma,Bu Gece Beni Görmeden Uyuma
13776,2009-08-04,Bundan İbaret,Bundan İbaret
13777,2004-05-18,Coğrafya,Coğrafya
13778,2006-08-31,Kaybol Benle,Kaybol Benle
13779,2018-03-16,Kıyamadığım,Kıyamadığım
13780,2004-05-18,Kulun Olayım,Kulun Olayım
13781,2006-08-31,Maske,Maske
13782,2009-08-04,Mutluyuz (Sevgilim O Kadar Çok Seviyorum Ki),Mutluyuz
13783,2004-05-18,Ne Olacak,Ne Olacak
13784,2012-12-14,Oflaya Oflaya - Ceceli Versiyon,Oflaya Oflaya
13785,,,Olanlar Oldu Bana
13786,2007-12-17,Olmazsan Olmaz,Olmazsan Olmaz
13787,2001-05-29,Öğüt,Öğüt
13788,2006-08-31,Söyle - Özgürlüğün Bedeli,Özgürlüğün Bedeli
13789,2001-05-29,Pardon,Pardon
13790,2004-05-18,Sahilden (Dance Version),Sahilden (Dance Version)
13791,,,Sahilden (feat ceza)
13792,2004-05-18,Savulun Yıllar,Savulun Yıllar
13793,,,Selvi Boylum
13794,2018-03-16,Sen Benimsin Ben Seninim,Sen Benimsin Ben Seninim
13795,,,Sen De Vur
13796,2012-12-14,Sen Kaybı,Sen Kaybı
13797,2006-08-31,Seven,Seven
13798,2004-05-18,Sınıfta Kal,Sınıfta Kal
13799,2009-08-04,Gözlerinde Bıraktım Aşkı,Sihirbaz
13800,2013-03-03,Büyüdük,Büyüdük
13801,2013-03-03,Deli Çağlarım,Deli Çağlarım
13802,2013-03-03,Güneşimi Kaybettim,Güneşimi Kaybettim
13803,2013-03-03,Istanbul Sabahları,İstanbul Sabahları
13804,2013-03-03,Kadın Severse,Kadın Severse
13805,2013-03-03,Menekşenin Rüyası,Menekşenin Rüyası
13806,,,Mustafa Seni Soruyor
13808,2013-03-03,Tövbemi Bozdum,Tövbemi Bozdum
13810,1990-03-09,Adatepe,Adatepe
13811,1998-12-11,Affet İsyanım,Affet İsyanım
13812,1990-12-11,Akşam Olmadan,Aksam Olmadan
13813,1999-04-26,Alın Yazım,Alın Yazım
13814,,,Asma Yar
13815,,,Aşkımız Olay Olacak
13816,,,Atem Tutem Men Seni
13817,1990-03-09,Ayaz Geceler,Ayaz Geceler
13818,1990-03-09,Bağdatlı Ömer,Bağdatlı Ömer
13819,1998-12-11,Bağrımdaki Biten Başlar,Bağrımdaki Biten Başlar
13820,,,Bahçalarında Vişne
13821,1998-12-11,Bedri Alena,Bedri Alena
13822,1990-03-09,Ben Sana Kurban,Ben Sana Kurban
13823,1990-03-09,Boşu Boşuna,Boşu Boşuna
13824,1990-03-09,Çay Akar Gider,Çay Akar Gider
13825,1990-03-09,Daldalanım,Daldalanım
13826,1998-12-11,Dertli Dolap,Dertli Dolap
13827,1998-12-11,Ey Allahım,Ey Allahım
13828,1998-12-11,Gel Gör Beni,Gel Gör Beni
13829,2008-04-17,Gele Gide,Gele Gide
13830,1990-03-09,Hangi Bağın Bağbanısan,Hangi Bağın Bağbanısan
13831,1990-03-09,İpek Mendil,İpek Mendil
13832,1998-12-11,Kabenin Yolları,Kabenin Yolları
13833,,,Kar Tanesi (Dön Gel Artık)
13834,1998-12-11,Kaside,Kaside
13835,1990-03-09,Yolcu,Yolcu
13836,1998-12-11,Yörük Değirmen Gibi,Yörük Değirmen Gibi
13837,1990-03-09,Zeynelim,Zeynelim
13838,,,Ayrılık Kolay mı?
13839,,,A Fadimem Hadi Senle Kaçalım
13840,,,Ağlayı Ağlayı Geldim Kapına
13841,,,Al İpeğim İpeğim
13842,,,Arpa Da Ektim Gül Bitti
13843,,,Aşina Olalı Ol Melekruye
13844,,,At Gelir Şakır Şakır
13845,,,Atladı Gitti Eşiği
13846,,,Ay Efendim Hasretinden
13847,,,Ben Yemenimi Al İsterim
13848,,,Bindim Atın Birine
13849,,,Bursa'nın Ufak Tefek Taşları
13850,,,Bursalı Mısın Kadifeli Gelin
13851,,,Can Bülbülüm Cüda Düştü Gülünden
13852,,,Cezayir 01
13853,,,Cici Pabucum Cici
13854,,,Çayır Kuşu Çayırlıkta
13855,,,Denizde Urganım Var
13856,,,Denizin Ortasında
13857,,,Dereler Doldu Taşınan
13858,2016-04-01,Canlı Canlı,Canlı Canlı
13859,2016-04-01,Mutlu Ol Yeter,Mutlu Ol Yeter
13860,2017-07-26,Uzatmayalım,Uzatmayalım
13891,2017-10-06,ARAYAN BULUR,Arayan Bulur
13892,,,Aynı Günün Gecesi
13893,2012-12-21,Bil,Bil
13894,2017-01-20,Cam Parçası - Çıplak Ayaklar Stüdyosu 2013,Çam Parçası
13895,,,Dinazorlar
13896,2017-01-20,En Çirkini Güzellerin - Çıplak Ayaklar Stüdyosu 2013,En Çirkini Güzellerin
13897,2012-12-21,En Güzel Yerinde Evin,En Güzel Yerinde Evin
13898,2017-10-06,EVREN BOZMASI,Evren Bozması
13899,2017-10-06,GÜNEŞ YERİNDE,Güneş Yerinde
13900,2012-12-21,Havadar,Havadar
13901,2017-10-06,HAYALETLER,Hayaletler
13902,2017-01-20,Lilililerle - Çıplak Ayaklar Stüdyosu 2013,Lilililerle
13904,2012-12-21,Ne Var Ne Yok,Ne Var Ne Yok
13905,2012-12-21,Olanla Olunmaz,Olanla Olunmaz
13906,2012-12-21,Takıl Yani Takmıyo Belli,Takıl Yani Takmıyo Belli
13908,2006,Bugün Son,Bugün Son
13909,2006,Hep Aynı,Hep Aynı
13910,,,Herşey Bitti
13911,2006,Kör Yarış,Kör Yarış
13912,2006,Nefretim Kederimden,Nefretim Kederimden
13913,2006,Omzundaki Yük,Omzundaki Yük
13914,,,Onyedi
13915,2006,Sen de Gitme,Sen De Gitme
13917,2006,Vajina,Vajina
13918,2008-12-13,Vurulduk,Vurulduk
13919,2006,Yalnızlık,Yalnızlık
13920,2006,Yeni Bir Son,Yeni Bir Son
13921,,,Aşk Çakılları (Ft. Fundyy)
13922,,,Kalbim Esirin
13923,,,Platonik Aşk
13924,,,Tektanem
13925,,,Gönlümün Viranesinde Genci Pünhan
13926,,,Rö'yada Men Cennet Şamını
13927,,,Bir Yar Getirmişim
13928,,,Yüce Dağ Başında Beklerim Seni
13929,1999-01-26,Alyazmalım,Alyazmalım
13930,,,Ardakalan
13931,2001-04-11,Aşık Oldum,Aşık Oldum
13932,1997-06-16,Av - Herhangi Bir Kadın,Av (Herhangi Bir Kadın)
13933,2013-05-07,Ayletme Beni,Ayletme Beni
13934,2013-05-07,Ayna Ayna Ellere,Ayna Ayna Ellere
13935,2001-04-11,Bedel,Bedel
13936,2013-05-07,Ben Bir Roman Kızıyım,Ben Bir Roman Kızıyım
13937,2001-04-11,Bizim Ev,Bizim Ev
13938,1997-06-16,Bodrum Hakimi,Bodrum Hakimi
13939,2013-05-07,Burgaz Kimin Şimdi,Burgaz Kimin Şimdi
13940,1999-01-26,Çiçek Abbas,Çiçek Abbas
13941,1997-06-16,Davaro,Davaro
13942,1997-06-16,Devlerin Aşkı,Devlerin Aşkı
13943,1997-06-16,"Dila Hatun, Pt. 1",Dila Hatun 1
13944,1997-06-16,"Dila Hatun, Pt. 2",Dila Hatun 2
13945,2013-05-07,Dolama Dolamayı,Dolamayı Dolamayı
13946,1999-01-26,Fazilet,Fazilet
13947,2013-05-07,Filmlerden Tanır Aşkı,Filmlerden Tanır Aşkı
13948,1997-06-16,Güler Misin - Ağlar Mısın,Güler Misin? Ağlar Mısın?
13949,1999-01-26,Her Hangi Bir Kadın,Her Hangi Bir Kadın
13950,,,Çek O Pis Ellerini Benden
13951,2009-01-30,Doya Doya,Doya Doya
13952,2009-01-30,Gözüm Görmesin Seni,Gözüm Görmesin Seni
13953,2009-01-30,İnmisin Cinmisin,İnmisin Cinmisin
13954,2009-01-30,Kedi,Kedi
13955,2009-01-30,Kördüğüm,Kördüğüm
13956,2009-01-30,Senin Yüzünden,Senin Yüzünden
13957,2009-01-30,Sevme Artık Beni,Sevme Artık Beni
13958,2009-01-30,Yok Yazdım,Yok Yazdım
13959,,,A Bahçevan Senin Bahçen Var Mıdır?
13960,,,Ağam Sen Gideli Dışa Çıkmadım
13961,,,Ah Kızım Edalı Kızım
13962,,,Akşam Oldu Yakamadım Gazımı
13963,,,Al Başımdan Sevdayı
13964,,,Al Horoz (Horoz Değil Katır İdi)
13965,,,Alıverin Feracemi Geyeyim
13966,,,Altın Kösteğim Şak Şak
13967,,,Aman Güzel Oğlan
13968,,,Ankara'nın Taşına Bak
13969,,,Ankara'nın Yolları Kötü Yokuş
13970,,,Anneciğim Anne Öleceğim Ben
13971,,,Antalya'dan Aldım Yaprak Kınayı
13972,,,Arapço ile Kardaşı
13973,,,Aşamadım Karaman'ın İlinden
13974,,,Ay Fadimem Niçin Niçin
13975,,,Baban Pazara Vardı Mı
13976,,,Ben Bir Köroğlu'ydum
13977,,,Ben Nasıl Çıkacağım
13978,,,Bender Kalesi Cengi
13979,,,Berber Usturanın Ucu Mercandan
13980,,,Berdankalar Elimizde
13981,,,Bir Hamam Yaptırdım
13982,,,Bir Kuş Gelir Öte Öte
13983,,,Bir Oda Yaptırdım Hurma Dalından
13984,,,Gagauz Manileri
13985,,,Genç Osman
13986,,,Gesi Bağları
13987,,,Gide Gide Yarelerim Dirildi
13988,,,Gideriz Kırım'dan
13989,,,Gidin Yare Haber Verin
13990,,,Gönül Senden Ayrılır Mı
13991,,,Gurbet İlin Kapısı
13992,,,Güzel Olsa Esmer Olsa
13993,,,Hacı Bey Ağıtı
13994,,,Hastanenin Lambaları Parlıyor
13995,,,Hep Güzeller Allar Geymiş
13996,,,İki Turnam Gelir Aklı Karalı
13997,,,İlim Hey (Kızı Hor Edip)
13998,,,İlk Yaz Olur Açar Bade Çiçeği
13999,,,İstanbul'dan Getireyim Tası
14000,,,İstihkamdan Atlayamadım (Gaziler)
14001,,,Kabağı Boynuma Takarım
14002,,,Kader Torbasına Soktum Elimi
14003,,,Kadriyem (Bahçelerde Gündöndü)
14004,,,Kalk Gidelim Şazo
14005,,,Kar Etmez Ahım (Tenzile)
14006,,,Kara Sevda (Çiçeğim Çiçeğim)
14007,,,Karadeniz Akmam Dedi
14008,,,Karanfilsin Kararın Yok
14009,,,Sapı Yüklettim Kağnıya
14010,,,Sarı Guguk
14011,,,Sefer Döndü Mü (Sarı Yapracağım)
14012,,,Senin Yazın Kışa Benzer
14013,,,Sevsem Azarlar
14014,,,Soğuksu Türküsü (Biz Gideriz)
14015,,,Suda Boğulan Gelin
14016,,,Sular Akar Gök Irmaktan
14017,,,Suyu Saldım Çayıra
14018,,,Sülman Senin Kaşın Gözün Yay Mıdır
14019,,,Süpürgesi Yoncadan
14020,,,Sürmelimin Kaşlarına Mailim
14021,,,Şu Derenin Uzunu (Döne Döne)
14022,,,Şu Zile'nin Ortasından Yol Gider
14023,,,Takardım Gülümü (İlkyaz Eyyamında)
14024,,,Tepsiye Koyarlar Tuzu
14025,,,Trabzon Ninnileri
14026,,,Tuna Nehri Akmam Diyor
14027,,,Turnam Uçamamış Yolda Yorulmuş
14028,,,Türkmen Kızı (Kolum Yastık)
14031,2001-07-23,Arco Arena - Instrumental,Arco Arena
14080,2006-07-25,1453 - Fetih,1453 Fetih
14081,2005-07-29,"Anılar, Yapraklar, Mektuplar",Anılar Yapraklar Mektuplar
14082,,,Aşkı Hürrem
14083,2006-07-25,Ayasofya Yakarışları,Ayasofya Yakarışları
14084,2005-07-29,Hamamda İlk Gözyaşları,Cariyeler ve Geceler
14085,2007,Gül Bahçesi,Gül Bahçesi
14086,,,Leyla İle Mecnun (Düet Zara)
14087,2007,Muhibbi,Muhibbi
14088,2006-07-25,Rumeli Hisarı'nın Yapılışı,Sultanlar Aşkına
14089,,,Zeynep Hatun' Un Gizli Aşkı
14090,2012,Abla,Abla
14091,,,Aile İşi
14092,2012,Ali Baba,Ali Baba
14093,2011,Ayıl,Ayıl
14094,2014,Bahr-i Hazer,Bahr
14095,2011,Balon,Balon
14096,2011,Bana Bir Saz Verin,Bana Bir Saz Verin
14097,2012,Basması Pembe,Basması Pembe
14098,2012,Başkan,Başkan
14099,2011,Ben Yağmurum,Ben Yağmurum
14100,,,Beni Affet
14101,2014,Bir Çocuk Yaralı,Bir Çocuk Yaralı
14102,2017-03-03,Bravo,Bravo
14103,2014,Bulunmam Gerek,Bulunmam Gerek
14104,2011,Daha Sıcak Daha Dumanlı,Daha Sıcak Daha Dumanlı
14105,2012,Defol,Defol
14106,2014,Dem,Dem
14107,,,Derda (Koy Bi' Rakı Şişeden)
14108,,,Derinden
14109,,,Dört
14110,,,Elma Dersem Çık
14111,,,Erkekler De Ağlar
14112,2017-03-03,Esmer,Esmer
14113,2012,Haberler İyi Paşam,Haberler İyi Paşam
14114,2011,Hep Bi' Derdi Olur,Hep Bi Derdi Olur
14115,2017-03-03,Vurulmuşum,Vurulmuşum
14116,2017-03-03,Yan,Yan
14117,2017-03-03,Yaz Gelsin,Yaz Gelsin
14118,2013,Dal Goncayı Bir Sabah,Dal Goncayı Bir Sabah
14119,2013,Haydar Haydar,Haydar Haydar
14120,2013,İnanmazsın,İnanmazsın
14121,2013,Rüzgar,Rüzgar
14122,2013,Sorma,Sorma
14124,2013,Haydar Haydar,Yalnızım Ben
14125,2013-05-06,Ayakkabı,Ayakkabı
14126,2013-05-06,Dostumsun,Dostumsun
14127,2013-05-06,Dua,Dua
14128,2013-05-06,Kara Sevda,Kara Sevda
14129,2013-05-06,Kess,Kess
14130,2013-05-06,Romantik,Romantik
14131,2013-05-06,Unutamadım,Unutamadım
14132,2013-05-06,Yeter,Yeter
14134,,,Bedeviden Melodiler
14135,,,Defolu Pranga
14136,,,Dert
14137,,,Günaydın (Ft. Nabız)
14138,,,Günaydın 2 (Ft. Nabız)
14139,,,Kadife
14140,,,Nasıl Bir Şey Bu
14141,,,Ölüm Marşı
14142,,,Yarim
14143,2013-06-07,Canción del Mariachi (Morena de Mi Corazón) - Desperado-Theme,Desperado
14144,2005,Ada Sahillerinde Bekliyorum,Ada Sahillerinde Bekliyorum
14145,2004,Ağlıyor musun,Ağlıyor Musun?
14146,2000-01-01,Aklım Almıyor,Aklım Almıyor
14147,1996-07-11,Al Elimi Kara Sevda,Al Elimi Kara Sevda
14148,2005,Zeytinyağlı Yiyemem Aman,Aman Doktor
14149,2002-04-17,Anlatma Sakın,Anlatma Sakın
14150,2000-01-01,Annem,Annem
14151,2000-01-01,Arada Bir,Arada Bir
14152,1997-07-09,Aşkı Ne Sandın,Aşkı Ne Sandın
14153,2003-04-25,Avant De Nous Dire Adieu,Avant De Nous Dire Adieu
14154,2004,Bahane,Bahane
14155,2009,Bahar,Bahar
14156,,,Bak Bir Varmış Bir Yokmuş (C'est Ecrit Dans Le Cie
14157,2000-01-01,Bana Güven,Bana Güven
14158,2013,Beklemeden,Beklemeden
14159,2002-04-17,Ben Böyleyim,Ben Böyleyim
14160,2009,Ben Kimim,Ben Kimim
14161,2012,Beni Böyle Sev Seveceksen,Beni Böyle Sev
14162,2002-04-17,Bensiz,Bensiz
14163,1997-07-09,Beyaz Atlım,Beyaz Atlım
14164,2005,Bir Dalda İki Kiraz / Sallasana Sallasana,Bir Dalda İki Kiraz
14165,1996-07-11,Bir Sır Gibi,Bir Sır Gibi
14166,2004,Bir Yangının Külünü - Versiyon 1,Bir Yangının Külünü
14167,,,Bu Gece
14168,2004,Bu Sabah,Bu Sabah
14169,2002-04-17,Hayırsız,Hayırsız
14170,1997-07-09,Hayranım Sana,Hayranım Sana
14172,1997-07-09,Her Aşk Bitermiş,Her Aşk Bitermiş
14173,2011,Tombe La Neige (Her Yerde Kar Var),Her Yerde Kar Var (Tombe La Neige )
14174,2003-04-25,Hier Encore,Hier Encore
14175,2011,Hoşgörsen (On S'embrasse Et On Oublie),Hoşgörsen (On S'embrasse Et On Oublie)
14176,2003-04-25,Il Me Semble,Il Me Semble
14177,1997-07-09,İnanma,İnanma
14178,,,İnce Giyerim İnce
14179,2005,İndim Havuz Başına,İndim Havuz Başına
14180,2011,Istanbul,İstanbul
14181,2000-01-01,İster Sallan Gez,İster Sallan Gez
14182,2003-04-25,Johnny Tu N'es Pas Un Ange - V:1,Johnny Tu N'es Pas Un Ange
14183,2009,Kader,Kader
14184,2005,Kadifeden Kesesi,Kadifeden Kesesi
14185,2005,Kalenin Bedenleri,Kalenin Bedenleri
14186,2011,Karlar Düşer (Car Je Veux),Karlar Düşer (Car Je Veux)
14187,1997-07-09,Kaybettik Biz,Kaybettik Biz
14188,2009,Bahar,Kırık Kalpler Durağında
14189,,,Kızılcıklar Oldu Mu
14190,2018-03-08,Kim Korkar,Kim Korkar
14191,2009,Kimin Doğrusu,Kimin Doğrusu
14192,2002-04-17,Korkarım,Korkarım
14194,2000-01-01,Saçma,Saçma
14195,2011,Selam Söyle (Pourquoi Parler D'amour),Selam Söyle (Pourquoi Parler D'amour)
14196,2013,Sen,Sen
14197,2004,Sensizlik,Sensizlik
14198,2011,Sessiz Gemi (Sans Toi Je Suis Seul),Sessiz Gemi (Sans Toi Je Suis Seul)
14199,2011-07-31,Sevdan Olmasa,Sevdan Olmasa
14200,2005,Sevdim Anladım,Sevdim Anladım
14201,1996-07-11,Sevdim Sevilmedim,Sevdim Sevilmedim
14202,2004,Sitem,Sitem
14203,2004,Sonsuz,Sonsuz
14204,2000-01-01,Söz Vermiştin,Söz Vermiştin
14205,2004,Şehir,Şehir
14206,,,Tek Tek Basaraktan
14207,,,Telgrafın Telleri
14208,1997-07-09,Teselli,Teselli
14209,2009,Türkü,Türkü
14210,1996-07-11,Umrumda Değil,Umrumda Değil
14211,,,Une Belle Historie
14212,2014-04-23,Alır Seni Bu İstanbul,Vurgun Yedim
14213,,,Acı
14214,,,Aciz Hayat (Ft. Radu)
14215,,,Ağustos
14216,,,Ama Sen Herkes Değilsin
14217,,,Aralık
14218,,,Artık Yaşamıyorum
14219,,,Aşk = İlk Soluk (Feat. Masiva)
14220,,,Aşk Hanesi (Ft. Taladro)
14221,,,Beni Terkedin
14222,,,Bir Şey Söyliyeyim Mi
14223,,,Bu Duman Neyin Nesi
14224,,,Buz
14225,,,Canfeza'nın Kişiliği
14226,,,Çöl
14228,,,Daha İki Mavi
14229,2018-03-21,Dem,Dem
14231,,,Dudaklarını Aralama (Ft. Bekabir)
14232,,,Efkar (Ft. Ber Kadem)
14233,,,Ekim
14234,,,Esir Oluyorum
14235,2015-09-01,Eylül 1,Eylül
14236,2015-09-01,Eylül 1,Eylül 1
14237,2015-09-01,Gayb (Entrümental),Gayb
14238,,,Nasıl Olur
14239,,,Nasılsın? (Ft. E. Elvis & D. Boy & W. Flavor & As)
14240,2015-09-01,Ne (Remix),Ne
14241,,,Ocak (Ft. Yeşil)
14242,,,Odamdaki Sesler
14243,,,Olsun Beya (Ft. Yeşil)
14244,,,Onu Bunu Yazalım
14245,,,Ozan Kafiyesi
14247,,,Önceden (Ft. Berkadem)
14248,,,Paha
14249,2015-09-01,Peki Ya İnsan (Enstrümental),Peki Ya İnsan
14250,,,Peri Tahtı
14251,,,Sanki
14252,,,Sarmaşık
14253,2015-09-01,Sel Gibi,Sel Gibi
14254,,,Seni Düşünerek Uyandım (Ft. Ber Kadem)
14255,,,Set
14256,,,Acılarla Sevişmek (Feat. Kurşun)
14257,,,Hoşumuza Gidiyor (Feat. Pit10)
14258,,,Kaç Kişiyiz Kendimizde (Feat. Kurşun)
14259,,,Kafalama
14260,,,Kalp Atışın Durmadan
14261,,,Kolay mı Sence (Feat. Pit10 & Kurşun)
14262,,,Kolpalar Güdülür
14263,,,Sizin Bir Derdiniz Var
14264,,,Tütsü (Feat. Kurşun)
14265,,,Vakti Geldi (Feat. Pusat)
14266,,,Varım Yoğum
14267,,,Yanlış Yoldasın
14268,,,Yeryüzüne Çevirir
14269,,,Acele
14271,,,Aklına Tüküreyim
14272,2005-02-28,Aman aman,Aman Aman
14273,,,Anla Beni Yar
14274,,,Anladım
14275,,,Aşk Yoldaşımsın
14276,,,Aşkım
14277,,,Aşkım (Türkçe)
14279,,,Baglamışım
14280,2005-02-28,Bebegim,Bebeğim
14281,2005-02-28,Bildircinim,Bıldırcınım
14282,,,Bırakmam
14283,,,Bittin Sen (Dönmem)
14284,,,Bomba Gibi
14285,,,Canımı Veririm
14286,,,Canimin İci
14287,,,Cayır Cayır
14288,2005-02-28,Cin mi carpti,Cin mi Çarptı
14289,,,Çatlak
14290,,,Dardayım
14291,2005-02-28,Delalim,Delalım
14292,,,Dön
14293,,,Dön Bana
14294,,,Sen Var ya Sen
14295,,,Sende Mi
14296,,,Seni Asla
14298,,,Sıkılıyorum
14299,,,Söyle Sen Misin
14300,,,Şekerim Benim
14301,,,Şimdi Dinle (ft. Azirha)
14302,,,Unutamam
14303,2005-02-28,Unutuldun,Unutuldun
14304,2005-02-28,Ver ver,Ver Ver
14305,2005-02-17,Ağam Da Ben Sivaslıyam,Ağam Da Ben Sivaslıyam
14306,2014-10-17,Ağla Sabahlarca,Ağla Sabahlarca
14307,2008-05-22,Ahu Gözlüm,Ahu Gözlüm
14308,2014-10-17,Akıl Mı Koydun,Akıl Mı Koydun
14309,2005-02-17,Alın Uzağa Götürün,Alın Uzağa Götürün
14310,2011-06-28,Ancak Beni Sen Yıkarsın,Ancak Beni Sen Yıkarsın
14311,,,Bahçede Bir Bülbül Ağlar
14312,2005-02-17,Bir Zaman Günleri Saydım,Bir Zaman Günleri Saydım
14313,2014-10-17,Bizim Eller Yıkılır,Bizim Eller Yıkılır
14314,2012-04-11,Boşu Boşuna,Boşu Boşuna
14315,2005-02-17,Deli Gönlüm,Deli Gönlüm
14316,,,Deli Misin Divane Mi
14317,,,Dereler Coşar Da
14318,2012-04-11,Dertlinin Derdi Bilinmez,Dertlinin Derdi Bilinmez
14319,2014-10-17,Dillere Yazık,Dillere Yazık
14320,2012-04-11,Dost Senin Derdine Kimse Ağlamaz,Dost Senin Derdine
14321,2005-02-17,El Çek Tabip,El Çek Tabip
14322,2012-04-11,Eller Söylesin,Eller Söylesin
14323,2014-10-17,Engel Olma Yollarıma,Engel Olma Yollarıma
14324,2005-02-17,Erik Gözlüm (Uzun Hava),Erik Gözlüm
14325,2005-02-17,Esmerim Aman,Esmerim Aman
14326,2005-02-17,Eylen Yolcum,Eylen Yolcum
14327,,,Garip Ömrümün
14328,,,Aynı Annesi
14329,,,Azrailim Oldu Korkularım
14330,,,Bana Dön Geri
14331,,,Bir Kaç Sayfa Anı
14332,,,Bizim Gız
14334,,,Deniz Gözlüm
14335,,,Dertler Bitmez
14336,,,Gitme
14338,,,Gözlerinde Buldum Aşkı (Ft 68efkar)
14341,,,Hıphop Bu
14342,,,Kalbimde Cinayet
14344,,,Kaybolan Yıllar
14345,,,Niğdeli Kızlar
14346,2006-06-01,Acıların Kadını,Acıların Kadını
14347,2006-06-01,Ağla Gözbebeğim,Ağla Gözbebeğim
14348,,,Ağlayamam ki
14349,2004-09-14,Aklım Sende,Aklım Sende
14350,,,Aldanma Çocuksun
14351,2013,Anam Olsaydı,Anam Olsaydı
14352,,,Ben Böyle Yaşamak Zorunda Mıyım
14353,2013,Ben Ne Günler Gördüm,Ben Ne Günler Gördüm
14354,2004-09-14,Bitmiyor Ruhumda Haykırışların,Bitmiyor Ruhumda Haykırışların
