,artist,title,album,text
10,Orhan Gencebay,Allah Bizimledir,Leyla İle Mecnun,"Ettiler aşkımı benden biçare  Ne bahtım uyanır ne feryat çare  Bir zulum dünyayı kana bulamış aman  Ben mecnun aşk mecnun kader divane    Ayrılık bile ağlardı  Ayrılığı yaşasaydı  Utanırdı ettiğinden  Felek aşkı tanısaydı    Sabret gönlüm sabret sabret  Allah bizimledir allah bizle  Allah tek ümittir ümitsize  Hangi kitap yazmış insan köle diye  Mutlaka çare var çaresize      eval(ez_write_tag([[250,250],'alternatifim_com-box-4','ezslot_2']));  [ reklamı gizle   hide ads ]Sonsuzluğun günü bugün  Ayrılığın günü bugün  Yaşanan en büyük derdin  Yaşandığı gündür bugün    Her hasretin arkasında  Bir ümidin bin nazı var  Her Adımda bir acının  Silinmeyen izleri var    Sabret gönlüm sabret sabret  Allah bizimledir allah bizle  Allah tek ümittir ümitsize  Hangi kitap yazmış insan köle diye  Mutlaka çare var dertlerimize   "
11,Orhan Gencebay,Allah'ım Sen Beni Koru,Hasret Rüzgarı,"Yemyeşil gözlerden, sımsıcak sözlerden  Allah'ım sen beni koru, allah'ım sen beni koru  Titreyen kalbimden, doymayan gönlümden  Allah'ım sen beni koru, allah'ım sen beni koru    Bir çıkmaz sokak gibi  Gurbette kucak gibi  Düşlerde gerçek gibi  Çok da güzel afet gibi  Hem şeytan, melek gibi  Allah'ım sen beni koru      eval(ez_write_tag([[250,250],'alternatifim_com-box-4','ezslot_0']));  [ reklamı gizle   hide ads ]Bir yanlış yapmaktan, günahkar olmaktan  Allah'ım sen beni koru, allah'ım sen beni koru  Her sözde bir sihir, her bakış bir tuzak  Allah'ım sen beni koru, allah'ım sen beni koru    Bir şarkı, şiir gibi  Bir rüya, masal gibi  Her mevsim bahar gibi  Çok da güzel afet gibi  Hem şeytan, melek gibi  Allah'ım sen beni koru   "
12,Orhan Gencebay,Allahın Emriyle,Emrin Olur,"Allah'ın emriyle  Peygamber kavliyle  İstemiştim seni bana  Keremle Mecnun haliyle    Vermediler seni  Kahrettiler beni  Yaşıyorum can havliyle  Gönül derdiyle, aşkın derdiyle    Sevda sevenindir  Dertler çekenindir  Hem sevenin, hem çekenin  Doğru söyle yar kimindir    Vermediler seni  Kahrettiler beni  "
13,Orhan Gencebay,Almina,Gönül Dostu,"Son günlerde ne yüzüme bakıyor  Ne bir selam veriyorsun Almina  zahmet edip ne elimi sıkıyor  Ne bir hatır soruyorsun Almina    Madem hızlı yaşamayı severdin  Neden bana yar olamaya söz verdin  Cambaz gibi kalpten kalbe tel gerdin  Maceraya yürüyorsun Almina    Ben yanarken hasretinin narında  Hoyrat eller bağlar bozdu bağrında  Ben aklımı uğurlarken uğrunda  Sen sefalar sürüyorsun Almina      eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_2']));  [ reklamı gizle   hide ads ]Seni gözden seni sözden sakınıp  Sır vermedim dosta senden yakınıp  Hasretinle her gün biraz tükenip  Bittiğimi görüyorsun Almina    Koca bir yaz gelip geçti gülmeden  Ben giderim, sen insafa gelmeden  Hayatımla oynuyorsun bilmeden  Günahıma giriyorsun Almina    Telaşlanma kastettiysen canıma  Günden güne giriyorsun kanıma  Bir atımlık barut kaldı sonuma  Muradına eriyorsun Almina   "
14,Orhan Gencebay,Anlatamam ki,Dil yarası,Hangi söze sığarsın sen Anlatamam ki anlatamam ki Seni bende bir daha yaratamam ki Sensin bu gönlüm sensin bu ömrüm Yaşatamam ki yaşatamam ki  Sen her sözde bir kitapsın anlatamam ki Senin gibi bir sevgiliyi yaratamam ki Dile benden ne dilersen Yok diyemem ki yok diyemem ki  Aşk sihrine güç mü yeter dur diyemem ki Seven gönlü kim susturmuş sus diyemem ki Senden gelen hiçbir şeye git diyemem ki Anlatamam ki anlatamam ki Senin gibi bir sevgili yaratamam ki    
15,Orhan Gencebay,Arıyorum,,"Arıyorum arıyorum Senle geçen her anı arıyorum Arıyorum, arıyorum Kaybettim ve kayboldum arıyorum Soruyorum soruyorum Ayrılığa bir neden bulamıyorum İkimiz bir bütünün iki yarısıydık Bu hayatın vurduğu iki yaralısıydık Varlıkta yoklukta dertlerin kucağında Her şeyi paylaşan iki sırdaşıydık Ne oldu canım gülüm nazar mı değdi bize Dönelim eski halimize     "
16,Orhan Gencebay,Asla,Emrin Olur,"Asla, asla Asla, asla Geri dönemem artık Seni sevemem artık  Unuttun mu ıstırapla geçen yılları Lanetlenen bu kaderi ikimiz yazdık Mutluluğa giden yolun kapılarını Öfke ile inad ile bizler kapattık  Dönmek ne demek? Kaybolan emek Mümkün mü artık sevilip, sevmek Dönmek demek, kaybolan emek "
17,Orhan Gencebay,Aşk Değil,Yarabbim,Aşk değil aşk değil Beni böyle kahreden senin cefan Aşk değil Ey sevgilim ettiğin Bir değil bin değil az değil  Aşkın yolu diye beni Uçuruma itiyorsun Ölmek bir şey değil ama Beni sensiz ediyorsun Beni senden ediyorsun  Sen aşkımla bende doğan Benden daha büyük bir çilesin Arıyorum sen bul beni Ben nerdeyim şimdi sen nerdesin Bahtının gölgesine sığınıp ta kalmışım Bir dilenci misali el açıp yalvarmışım   
18,Orhan Gencebay,Aşk Mezarı,,"Kaz mezarcı kaz mezarcı Aşkıma bir mezar kaz Ben ölmeden aşkım öldü Aşkıma bir mezar kaz Vefasızın yolundan ben artık döneceğim Kaz mezarcı derin kaz aşkımı gömeceğim"" Yıllardır harap eden beni bırakıp giden Bana ihanet eden aşkımı gömeceğim Mezarının başında vefasız diyeceğim Kaz mezarcı derin kaz aşkımı gömeceğim Yıllar var ki harap eden beni bırakıp giden Bana ihanet eden aşkımı gömeceğim Mezarının başında vefasız diyeceğim Kaz mezarcı derin kaz aşkımı gömeceğim Kaz mezarcı derin kaz aşkımı gömeceğim Kaz mezarcı derin kaz aşkımı gömeceğim   "
19,Orhan Gencebay,Aşk Pınarı,Hatasız Kul Olmaz,Eğer aşka bir ceza verebilseydim Benim gibi onun da sevmesini isterdim Meçhulden gelmişim meçhule giderim  Ömür denen bu yolda susadım su içtim Yürek kansın diye yoldaki bir pınardan Aşk pınarıymış bu içmesen ararsın İçsen benim gibi aşk diye yanarsın Ne ilk içen bendim ne son geçen bu yoldan Her şey başladı aşk pınarında Dertler başladı aşk pınarında  Şimdi arıyorum aşksız günlerimi Meğer zehirlemişim kendi kendimi Aşk pınarı değil dert pınarıymış bu Kaybettim yarınımın ümitlerini ümitlerini ümitlerini Kaybettim yarınımın ümitlerini Sevmemek elde değil zamanı belli değil  Bir canım var yaşarım bende değil 
